Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
DME Introduction (Commercial),,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Medical Policy,"[""Durable Medical Equipment->DME General""]",https://portal.policyreporter.com/geturlupdate.php?urlid=39509&updateid=4793986,https://portal.policyreporter.com/policy-updates/39509,39509,,3/4/2025,Active,3/4/2025,,3/4/2026,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecY9tEogsRklHhcU-39509-TXDME Introductio,recY9tEogsRklHhcU
Oncology Medication Clinical Coverage,,Policy Database,United Healthcare,,,"Commercial,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,WA,WI,WV,WY,ND,VT",52,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD],Medicare Advantage: [AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Pharmaceutical Policy,"[""Administrative Documents->Pharmacy Coverage Admin""]",https://portal.policyreporter.com/geturlupdate.php?urlid=41039&updateid=4793523,https://portal.policyreporter.com/policy-updates/41039,41039,,3/3/2025,Pending,4/1/2025,,4/1/2026,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreckBOB4BqZaxZkuM-41039-AKOncology Medica,reckBOB4BqZaxZkuM
1B Preventive Health Services [Post USPSTF (Including Womenâ€™s Preventive)],,Policy Database,Blue Shield California,,,Commercial,CA,1,Commercial: [CA],Supporting Coverage Document,"[""Preventive Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=43147&updateid=3444918,https://portal.policyreporter.com/policy-updates/43147,43147,,2/11/2023,Active,2/8/2023,,2/8/2024,1991851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec4Oz61Xv7gsnOOz-43147-CA1B Preventive H,rec4Oz61Xv7gsnOOz
Coverage (Employees),,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Summary of Benefits,"[""Payment Policies->Plan Documents->Summary of Benefits""]",https://portal.policyreporter.com/geturlupdate.php?urlid=44417&updateid=3572454,https://portal.policyreporter.com/policy-updates/44417,44417,,5/5/2023,Active,1/1/2023,,1/1/2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec5NAW6GxgUTRRKU-44417-ILCoverage (Emplo,rec5NAW6GxgUTRRKU
Off-Label/Unproven Specialty Drug Treatment (Individual Exchange),,Policy Database,United Healthcare,,,Commercial,"AZ,FL,IL,MD,NC,OK,TN,TX,VA,WA",10,"Commercial: [AZ,FL,IL,MD,NC,OK,TN,TX,VA,WA]",Medical Policy,"[""Administrative Documents->Pharmacy Coverage Admin->Off Label Drug Coverage""]",https://portal.policyreporter.com/geturlupdate.php?urlid=282929&updateid=4371949,https://portal.policyreporter.com/policy-updates/282929,48525,,7/2/2024,Active,7/1/2024,,7/1/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecSc3GTBpQHL9wIQ-48525-AZOff-Label/Unpro,recSc3GTBpQHL9wIQ
Provider Administered Drugs Site of Care (Commercial),,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,WA,WI,WV,WY",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Medical Policy,"[""Administrative Documents->Pharmacy Coverage Admin->Site of Care for Drugs->Specialty Medication Site of Care""]",https://portal.policyreporter.com/geturlupdate.php?urlid=50091&updateid=4876203,https://portal.policyreporter.com/policy-updates/50091,50091,,5/1/2025,Active,5/1/2025,,5/1/2026,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecXZOsYABjEB9bJ9-50091-AKProvider Admini,recXZOsYABjEB9bJ9
Prescription Drug Prior Authorization Request Form,,Policy Database,Blue Shield California,,,Commercial,CA,1,Commercial: [CA],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=50285&updateid=4804079,https://portal.policyreporter.com/policy-updates/50285,50285,,3/11/2025,Active,7/1/2022,,7/1/2023,1991851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecOkHcVE01GfT0Vu-50285-CAPrescription Dr,recOkHcVE01GfT0Vu
Home Health Care,,Policy Database,Florida Blue,,,"Commercial,Federal Employer,Medicare Advantage,Medicare Part D",FL,1,"Commercial: [FL],Federal Employer: [FL],Medicare Advantage: [FL],Medicare Part D: [FL]",Medical Policy,"[""Payment Policies->Point of Service Billing->Home Health Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=52897&updateid=3937760,https://portal.policyreporter.com/policy-updates/52897,52897,,11/16/2023,Active,11/15/2023,,11/15/2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecjdtnBaP9K5ALNC-52897-FLHome Health Car,recjdtnBaP9K5ALNC
Specialty PA Form,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=55010&updateid=4825388,https://portal.policyreporter.com/policy-updates/55010,55010,,3/29/2025,Active,,,,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecGIWKCAEQHx2hva-55010-FLSpecialty PA Fo,recGIWKCAEQHx2hva
"Maximum Frequency Per Day, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Coding and Billing Disputes->Maximum Frequency Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58301&updateid=4903773,https://portal.policyreporter.com/policy-updates/58301,58301,,5/18/2025,Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecctqvVzm88f5HcW-58301-AKMaximum Frequen,recctqvVzm88f5HcW
"Physical Medicine and Rehabilitation: Maximum Combined Frequency Per Day, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Rehabilitative Services->Physical Medicine Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58303&updateid=4212030,https://portal.policyreporter.com/policy-updates/58303,58303,,4/2/2024,Active,4/1/2024,,4/1/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreceRLolAPGtzV8HJ-58303-AKPhysical Medici,receRLolAPGtzV8HJ
"Multiple Procedure Payment Reduction (MPPR) for Medical and Surgical Services, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Multiple Procedures Billing->Multiple Procedure Reduction Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58339&updateid=4771873,https://portal.policyreporter.com/policy-updates/58339,58339,,2/17/2025,Active,2/16/2025,,2/16/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrectUfv2g5fEEYoXc-58339-AKMultiple Proced,rectUfv2g5fEEYoXc
"From â€“ To Date Policy, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->From - To Date Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58342&updateid=4831421,https://portal.policyreporter.com/policy-updates/58342,58342,,4/2/2025,Active,3/30/2025,,3/30/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecDsapuVINymzWag-58342-AKFrom â€“ To Dat,recDsapuVINymzWag
"One or More Sessions Policy, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Codes for One or More Sessions""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58345&updateid=4224590,https://portal.policyreporter.com/policy-updates/58345,58345,,4/6/2024,Active,4/1/2024,,4/1/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecMXr8myQwTxbIyM-58345-AKOne or More Ses,recMXr8myQwTxbIyM
"Same Day, Same Service Policy, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Multiple Procedures Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58355&updateid=4451552,https://portal.policyreporter.com/policy-updates/58355,58355,,8/27/2024,Active,8/26/2024,,8/26/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHIR_IDrecoykx38NYMF3SHo-58355-AKSame Day, Same ",recoykx38NYMF3SHo
"Bilateral Procedures, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,"Commercial,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,IL,IN,KS,KY,LA,MA,MD,ME,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,ID,MN,MI,ND,SD,VT",52,"Commercial: [AZ,CO,DC,FL,IL,KY,MD,MO,MS,NC,NE,NV,OK,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,IA,ID,IN,KS,LA,MA,ME,MN,NH,NJ,NM,NY,OH,OR,PA,RI,UT,VI,WI,WV,WY,MI,HI,MT],Medicare Advantage: [AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Multiple Procedures Billing->Bilateral Procedure Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58375&updateid=4735131,https://portal.policyreporter.com/policy-updates/58375,58375,,1/23/2025,Active,1/24/2025,,1/24/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecd1O4GRI86IAfgP-58375-AKBilateral Proce,recd1O4GRI86IAfgP
"Split Surgical Package (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Split Surgical Package Reimbursement""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58446&updateid=4212046,https://portal.policyreporter.com/policy-updates/58446,58446,,4/2/2024,Active,4/1/2024,,4/1/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecaEnwzAEBj6LAce-58446-AKSplit Surgical ,recaEnwzAEBj6LAce
Corrected Claim and Claim Reconsideration,,Policy Database,United Healthcare,,,"Commercial,Medicare Advantage","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",56,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD],Medicare Advantage: [AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Appeals Form,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=336519&updateid=4848960,https://portal.policyreporter.com/policy-updates/336519,58463,,4/10/2025,Active,3/31/2025,,3/31/2026,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec3tUI9GkA979xC4-58463-AKCorrected Claim,rec3tUI9GkA979xC4
"Assistant-at-Surgery Services, Professional (Commercial)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,WA,WI,WV,WY",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing->Assistant Surgeon Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58506&updateid=4749631,https://portal.policyreporter.com/policy-updates/58506,58506,,2/1/2025,Active,2/1/2025,,2/1/2026,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecQFj1gAfNCCAzf7-58506-AKAssistant-at-Su,recQFj1gAfNCCAzf7
"Modifier Reference (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58535&updateid=4710982,https://portal.policyreporter.com/policy-updates/58535,58535,,1/7/2025,Active,1/7/2025,,1/7/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecRdKX84AmAAnBGv-58535-AKModifier Refere,recRdKX84AmAAnBGv
"Procedure to Modifier, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58540&updateid=4420196,https://portal.policyreporter.com/policy-updates/58540,58540,,8/3/2024,Active,8/4/2024,,8/4/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecRW491sZvIuL8jf-58540-AKProcedure to Mo,recRW491sZvIuL8jf
"Add-On Codes (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing->Add-On Code Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58548&updateid=4854061,https://portal.policyreporter.com/policy-updates/58548,58548,,4/14/2025,Active,4/13/2025,,4/13/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecWuCynv4h85HLre-58548-AKAdd-On Codes (C,recWuCynv4h85HLre
"B-Bundle Codes (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58552&updateid=4803516,https://portal.policyreporter.com/policy-updates/58552,58552,,3/11/2025,Active,3/9/2025,,3/9/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecHl4mfpo4TK3586-58552-AKB-Bundle Codes ,recHl4mfpo4TK3586
"T Status Codes, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58557&updateid=4212761,https://portal.policyreporter.com/policy-updates/58557,58557,,4/2/2024,Active,4/1/2024,,4/1/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHIR_IDrecyPskXvvkWkOeBA-58557-AKT Status Codes,",recyPskXvvkWkOeBA
"Time Span Codes Policy, Professional (Commercial, Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VI,WA,WI,WV,WY,MN,SD",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->From - To Date Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=58562&updateid=4826984,https://portal.policyreporter.com/policy-updates/58562,58562,,3/31/2025,Active,3/30/2025,,3/30/2026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec4UmoGE54yzmt5P-58562-AKTime Span Codes,rec4UmoGE54yzmt5P
